Heir to the Throne            王座继承者

****************************************

Prelude                       序幕

Garard                        伽拉德
Eldred                        埃雷德
Asheviere                     艾斯威勒
Delfador                      黎伐多
Konrad                        科纳德

Galcadar                      伽尔卡达
Ford of Abez                  雅碧滩
Weldyn                        维尔帝
Tath                          塔斯
Aethenwood                    埃森丛林

****************************************

01 - The Elves Besieged       精灵受困

Urug-Telfar                   乌鲁戈-特尔法
Knafa-Tan                     克纳法-坦
Maga-Knafa                    马加-克纳法
Galdrad                       伽尔德拉德
Chantal                       香黛儿

Isle of Alduin                安度云岛

****************************************

02 - Blackwater Port          黑水港

Sir Kaylan                    凯兰爵士
Mokolo Qimur                  魔科洛·奇穆
Veocyn                        维欧辛
Yran                          伊兰
Haldiel                       哈尔迪尔
Yredd                         伊雷德
Tarcyn                        塔辛
Syryn                         希林
Cicyn                         希辛
Ginvan                        金凡
Simyr                         西米尔

****************************************

03 - The Isle of Alduin       安度云岛

Usadar Q'kai                  乌萨达·丘凯
Elrian                        艾尔利安
Seimus                        西穆斯

Bay of Pearls                 珍珠湾

****************************************

04 - The Bay of Pearls        珍珠湾

Dwaba-Kukai                   达瓦巴-库凯
Managa'Gwin                   马纳加-戈温
Bugg                          巴戈
Xnamas                        希纳玛斯
Inalai                        伊纳莱
Gwaba                         格瓦巴
Nepba                         内普巴
Triram                        特里拉姆
Mriram                        米里拉姆
Mabooa                        玛博阿
Earooa                        伊洛阿
Nethuns                       内桑斯
Gwoama                        格沃玛
Kaba                          卡巴
Kwaboo                        卡瓦布
Gwimli                        格威姆利
Jarla                         伽拉
Gwarloa                       格瓦洛阿
Heldaga                       黑尔达伽
Apalala                       阿帕拉拉
Oceania                       欧辛妮娅
Elcmar                        艾尔克玛
Aigaion                       艾该温
Tini                          提尼

Elensefar                     埃仁撒伐
Elense city-state             埃仁斯城邦
Elven Council                 精灵元老会

****************************************

05a - Muff Malal's Peninsula  玛夫·玛拉尔的半岛

Muff Malal                    玛夫·玛拉尔

****************************************

05b - Isle of the Damned      被诅咒者之岛

Haf-Mal                       哈夫-玛尔
Jarmal-Gorg                   加马尔-高戈
Kalba                         卡尔巴
Gnaba                         格纳巴
Delurin                       德鲁林
Moremirmu                     莫密尔姆
Xakae                         夏凯

****************************************

06 - The Siege of Elensefar   围攻埃仁撒伐

Agadla                        阿伽德拉
Muff Jaanal                   玛夫·伽纳尔
Reglok                        瑞格罗克
Gelgar                        格尔伽
Gamlel                        伽姆蕾尔
Darglen                       达格朗
Kalenz                        凯雷茨

Ka'lian                       卡·利安
Great Council of the Elves    精灵大元老会
Knalga                        纳尔迦
Wesmere                       韦弥儿

Scepter of Fire               圣火权杖

****************************************

07 - Crossroads               交叉路口之战

Kojun Herolm                  阔军·荷洛姆
Mokho Kimer                   莫科荷·基莫
Niodien                       尼欧迪恩
Loflar                        罗夫拉

Dan'Tonk                      丹·冬克
Fort Tahn                     塔恩关

****************************************

08 - The Princess of Wesnoth  韦诺公主

Li'sar                        莉莎
Ronry                         荣利

Elmar's Crossing              艾尔玛河口
Elbridge                      艾尔桥

****************************************

